Cp1252
"WorkflowListView",a004,"Name","Name",""
"WorkflowListView",a005,"Creator","Creator",""
"WorkflowListView",a006,"Requester","Requester",""
"WorkflowListView",a007,"Status","Status",""
"WorkflowListView",a008,"Created On","Created On",""
"WorkflowListView",a009,"Submitted Date","Submitted Date",""
"WorkflowListView",a010,"Workflows created by you.","Workflows created by you.",""
"WorkflowListView",a011,"Inspect","Inspect",""
"WorkflowListView",a012,"Edit","Edit",""
"WorkflowListView",a013,"Make Copy","Make Copy",""
"WorkflowListView",a014,"Remove Selection","Remove Selection",""
"WorkflowListView",a015,"Withdraw Selection","Withdraw Selection",""
